Index-Nr;Modell-Nr;Aktf.;Bias;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
178;4;$\sigma$;True;1;128;5.4;0.0875;0.0876;0.0875;0.2587;0.2571;0.2598
179;4;tanh;False;1;128;5.4;0.0164;0.0149;0.0154;0.9005;0.9094;0.9066
180;4;tanh;True;1;128;5.6;0.0174;0.0165;0.0172;0.8953;0.9005;0.8938
181;4;relu;False;0.1;8;26.1;0.0139;0.0132;0.0136;0.9103;0.9136;0.9111
182;4;relu;True;0.1;8;26.6;0.0142;0.0129;0.0143;0.9078;0.9162;0.9064
183;4;$\sigma$;False;0.1;8;26.3;0.0823;0.0825;0.0821;278;0.2753;0.2784
184;4;$\sigma$;True;0.1;8;27.2;0.0796;0.0798;0.0794;319;321;0.3151
185;4;tanh;False;0.1;8;26.6;0.0151;0.0144;0.0152;0.9055;0.9078;0.9011
186;4;tanh;True;0.1;8;27.1;0.0147;0.0138;0.0143;0.9079;0.9118;0.9071
187;4;relu;False;0.1;32;9.8;0.0471;0.0461;0.0466;0.6293;0.6331;0.6319
188;4;relu;True;0.1;32;10.1;0.0214;0.0195;0.0205;861;0.8715;0.8662
189;4;$\sigma$;False;0.1;32;9.9;0.0891;0.0891;89;0.1531;0.1461;0.1607
190;4;$\sigma$;True;0.1;32;10.1;0.09;0.0899;0.09;0.1686;0.1751;0.1792
191;4;tanh;False;0.1;32;10.1;0.0332;0.0314;0.0323;0.7886;0.8017;0.7995
192;4;tanh;True;0.1;32;10.3;0.0304;0.0281;0.0289;832;0.8519;0.8457
193;4;relu;False;0.1;128;5.7;0.0771;0.0761;0.0766;0.2889;0.3036;0.2943
194;4;relu;True;0.1;128;5.8;0.0707;0.0701;0.0705;0.4409;0.4452;0.4383
195;4;$\sigma$;False;0.1;128;5.9;0.09;0.0901;0.0901;0.1846;0.1946;0.1886
